"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"58",142,2,11172,"Tree Height = 42 meters",0,56,30,0,0.219607843,0.117647059,0,0
"59",201,2,4876712,"Shrub Height = 0.1 meter",239,228,204,0.937254902,0.894117647,0.8,0,0
"60",202,141,136990412,"Shrub Height = 0.2 meter",237,225,198,0.929411765,0.882352941,0.776470588,31,0
"61",203,7308,190257357,"Shrub Height = 0.3 meter",235,222,193,0.921568627,0.870588235,0.756862745,1625,0
"62",204,1467,213842140,"Shrub Height = 0.4 meter",233,220,187,0.91372549,0.862745098,0.733333333,326,0
"63",205,3088,162002292,"Shrub Height = 0.5 meter",231,217,182,0.905882353,0.850980392,0.71372549,687,0
"64",206,14822,147479762,"Shrub Height = 0.6 meter",229,214,177,0.898039216,0.839215686,0.694117647,3296,0.1
"65",207,18745,156580406,"Shrub Height = 0.7 meter",227,211,172,0.890196078,0.82745098,0.674509804,4169,0.1
"66",208,113073,269429020,"Shrub Height = 0.8 meter",225,209,166,0.882352941,0.819607843,0.650980392,25147,0.6
"67",209,32667,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,7265,0.2
"68",210,57749,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,12843,0.3
"69",211,51453,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,11443,0.3
"70",212,85710,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,19061,0.4
"71",213,75894,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,16878,0.4
"72",214,105868,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,23544,0.5
"73",215,89270,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,19853,0.5
"74",216,97083,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,21591,0.5
"75",217,72766,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,16183,0.4
"76",218,76705,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,17059,0.4
"77",219,50504,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,11232,0.3
"78",220,70076,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,15585,0.4
"79",221,29441,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,6548,0.1
"80",222,28088,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,6247,0.1
"81",223,19910,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,4428,0.1
"82",224,13888,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,3089,0.1
"83",225,8523,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,1895,0
"84",226,8066,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,1794,0
"85",227,5208,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,1158,0
"86",228,6789,6510582,"Shrub Height = 2.8 meters",62,38,24,0.243137255,0.149019608,0.094117647,1510,0
"87",229,2807,4373514,"Shrub Height = 2.9 meters",56,34,21,0.219607843,0.133333333,0.082352941,624,0
"88",230,9790,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,2177,0
"89",301,65156,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,14490,0.3
"90",302,168526,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,37479,0.9
"91",303,1188101,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,264227,6
"92",304,376691,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,83774,1.9
"93",305,32882,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,7313,0.2
"94",306,8457,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,1881,0
"95",307,5734,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,1275,0
"96",308,98420,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,21888,0.5
