"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"31",7096,96,"California Maritime Chaparral",7096,2096,"Sh California Maritime Chaparral","Shrub","Shrubland",607,"Chaparral","SRM 208: Ceanothus Mixed Chaparral","Shrub-dominated","Shrubland","Evergreen shrubland",107,77,54,0.419608,0.301961,0.211765,21,0
"32",7098,119908,"California Montane Woodland and Chaparral",7098,2098,"Sh California Montane Woodland and Chaparral","Shrub","Shrubland",607,"Chaparral","SRM 209: Montane Shrubland","Shrub-dominated","Shrubland","Evergreen shrubland",66,37,24,0.258824,0.145098,0.094118,26667,0.6
"33",7105,612767,"Northern and Central California Dry-Mesic Chaparral",7105,2105,"Sh Northern and Central California Dry-Mesic Chaparral","Shrub","Shrubland",607,"Chaparral","SRM 206: Chamise Chaparral","Shrub-dominated","Shrubland","Evergreen shrubland",99,69,47,0.388235,0.270588,0.184314,136276,3.1
"34",7123,4611,"Columbia Plateau Steppe and Grassland",7123,2123,"He Columbia Plateau Steppe and Grassland","Herb","Grassland",618,"Grassland and Steppe","SRM 106: Bluegrass Scabland","Herbaceous / Nonvascular-dominated","Herbaceous - shrub-steppe","Perennial graminoid steppe",199,176,129,0.780392,0.690196,0.505882,1025,0
"35",7124,65,"Columbia Plateau Low Sagebrush Steppe",7124,2124,"Sh Columbia Plateau Low Sagebrush Steppe","Shrub","Shrubland",623,"Low Sagebrush Shrubland and Steppe","SRM 406: Low Sagebrush","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",135,106,76,0.529412,0.415686,0.298039,14,0
"36",7125,6,"Inter-Mountain Basins Big Sagebrush Steppe",7125,2125,"Sh Inter-Mountain Basins Big Sagebrush Steppe","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 314: Big Sagebrush-Bluebunch Wheatgrass","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",230,151,41,0.901961,0.592157,0.160784,1,0
"37",7126,12,"Inter-Mountain Basins Montane Sagebrush Steppe",7126,2126,"Sh Inter-Mountain Basins Montane Sagebrush Steppe","Shrub","Shrubland",604,"Big Sagebrush Shrubland and Steppe","SRM 402: Mountain Big Sagebrush","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",219,140,37,0.858824,0.54902,0.145098,3,0
"38",7128,2120,"Northern California Coastal Scrub",7128,2128,"Sh Northern California Coastal Scrub","Shrub","Shrubland",609,"Pacific Coastal Scrub","SRM 204: Northern Coastal Shrub","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",201,116,30,0.788235,0.454902,0.117647,471,0
"39",7131,6468,"California Northern Coastal Grassland",7131,2131,"He California Northern Coastal Grassland","Herb","Grassland",617,"Grassland","SRM 214: Coastal Prairie","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,248,148,1,0.972549,0.580392,1438,0
"40",7137,89012,"Mediterranean California Subalpine Meadow",7137,2137,"He Mediterranean California Subalpine Meadow","Herb","Grassland",601,"Alpine Dwarf-Shrubland, Fell-field and Meadow","SRM 216: Montane Meadows","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,205,112,1,0.803922,0.439216,19796,0.5
"41",7138,28332,"North Pacific Montane Grassland",7138,2138,"He North Pacific Montane Grassland","Herb","Grassland",617,"Grassland","SRM 102: Idaho Fescue","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,198,107,1,0.776471,0.419608,6301,0.1
"42",7156,49173,"North Pacific Lowland Riparian Forest",7156,2156,"Tr North Pacific Lowland Riparian Forest and Shrubland","Tree","Riparian",632,"Red Alder Forest and Woodland","SAF 222: Black Cottonwood-Willow","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",67,162,181,0.262745,0.635294,0.709804,10936,0.3
"43",7157,4305,"North Pacific Lowland Riparian Shrubland",7156,2156,"Tr North Pacific Lowland Riparian Forest and Shrubland","Shrub","Riparian",632,"Red Alder Forest and Woodland","SAF 222: Black Cottonwood-Willow","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",67,162,181,0.262745,0.635294,0.709804,957,0
"44",7158,57496,"North Pacific Montane Riparian Woodland",7158,2158,"Tr North Pacific Montane Riparian Woodland and Shrubland","Tree","Riparian",635,"Western Riparian Woodland and Shrubland","SAF 222: Black Cottonwood-Willow","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",67,162,181,0.262745,0.635294,0.709804,12787,0.3
"45",7159,1310,"North Pacific Montane Riparian Shrubland",7158,2158,"Tr North Pacific Montane Riparian Woodland and Shrubland","Shrub","Riparian",635,"Western Riparian Woodland and Shrubland","SAF 222: Black Cottonwood-Willow","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",67,162,181,0.262745,0.635294,0.709804,291,0
"46",7170,1961,"Klamath-Siskiyou Xeromorphic Serpentine Savanna",7170,2170,"Tr Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral","Tree","Conifer",607,"Chaparral","SAF 248: Knobcone Pine","Tree-dominated","Sparse tree canopy","Evergreen sparse tree canopy",224,252,192,0.878431,0.988235,0.752941,436,0
"47",7171,363,"North Pacific Alpine and Subalpine Dry Grassland",7171,2171,"He North Pacific Alpine and Subalpine Dry Grassland","Herb","Grassland",617,"Grassland","SRM 103: Green Fescue","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,114,48,1,0.447059,0.188235,81,0
"48",7172,4416,"Sierran-Intermontane Desert Western White Pine-White Fir Woodland",7172,2172,"Tr Sierran-Intermontane Desert Western White Pine-White Fir Woodland","Tree","Conifer",643,"Douglas-fir-Grand Fir-White Fir Forest and Woodland","SAF 211: White Fir","Tree-dominated","Open tree canopy","Evergreen open tree canopy",0,204,0,0,0.8,0,982,0
"49",7173,8422,"North Pacific Wooded Volcanic Flowage",7173,2173,"Tr North Pacific Wooded Volcanic Flowage","Tree","Conifer",625,"Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland","SAF 218: Lodgepole Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",163,240,219,0.639216,0.941176,0.858824,1873,0
"50",7174,12514,"North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest",7174,2174,"Tr North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest","Tree","Conifer",642,"Western Hemlock-Silver Fir Forest","SAF 226: Coastal True Fir-Hemlock","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,71,0,0,0.278431,0,2783,0.1
"51",7177,66,"California Coastal Closed-Cone Conifer Forest and Woodland",7177,2177,"Tr California Coastal Closed-Cone Conifer Forest and Woodland","Tree","Conifer",610,"Conifer-Oak Forest and Woodland","SAF 248: Knobcone Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",224,252,192,0.878431,0.988235,0.752941,15,0
"52",7260,2745,"Mediterranean California Lower Montane Black Oak Forest and Woodland",7030,2260,"Tr Mediterranean California Lower Montane Black Oak Forest and Woodland","Tree","Hardwood",610,"Conifer-Oak Forest and Woodland","SAF 246: California Black Oak","Tree-dominated","Open tree canopy","Deciduous open tree canopy",0,189,0,0,0.741176,0,610,0
"53",7261,63611,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",7030,2261,"Tr Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland","Tree","Conifer-Hardwood",610,"Conifer-Oak Forest and Woodland","SAF 246: California Black Oak","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",0,189,0,0,0.741176,0,14147,0.3
"54",7270,266316,"Klamath-Siskiyou Xeromorphic Serpentine Chaparral",7170,2170,"Tr Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral","Shrub","Shrubland",607,"Chaparral","SAF 248: Knobcone Pine","Shrub-dominated","Shrubland","Mixed evergreen-deciduous shrubland",224,252,192,0.878431,0.988235,0.752941,59227,1.4
"55",7292,108334,"Open Water",7292,11,"Ba Open Water","Water","Open Water",11,"Open Water","LF 11: Water","Non-vegetated","Non-vegetated","Non-vegetated",0,0,255,0,0,1,24093,0.6
"56",7295,844,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",7295,32,"Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",32,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","LF 20: Developed","Non-vegetated","Non-vegetated","Developed",230,232,250,0.901961,0.909804,0.980392,188,0
"57",7296,100015,"Developed-Low Intensity",7296,2902,"Bau Developed-Low Intensity","Developed","Developed-Low Intensity",22,"Developed-Low Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",255,122,143,1,0.478431,0.560784,22243,0.5
"58",7297,48645,"Developed-Medium Intensity",7297,2903,"Bau Developed-Medium Intensity","Developed","Developed-Medium Intensity",23,"Developed-Medium Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",253,44,79,0.992157,0.172549,0.309804,10818,0.2
"59",7298,24666,"Developed-High Intensity",7298,2904,"Bau Developed-High Intensity","Developed","Developed-High Intensity",24,"Developed-High Intensity","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",173,0,28,0.678431,0,0.109804,5486,0.1
"60",7299,557114,"Developed-Roads",7299,2905,"Bau Developed-Roads","Developed","Developed-Roads",25,"Developed-Roads","LF 20: Developed","No Dominant Lifeform","No Dominant Lifeform","Developed",1,1,1,0.003922,0.003922,0.003922,123899,2.8
"61",7662,35608,"Temperate Pacific Freshwater Emergent Marsh",7662,2662,"He Temperate Pacific Freshwater Emergent Marsh","Herb","Riparian",765,"Freshwater Marsh","SRM 909: Freshwater Marsh","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid",255,153,0,1,0.6,0,7919,0.2
